q,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
3 Avenue LEO LAGRANGE 93100 MONTREUIL Seine-Saint-Denis,48.876546,2.455304,3 Avenue Leo Lagrange 93100 Montreuil,0.663339696969697,,housenumber,93048_5139_00003,3,3 Avenue Leo Lagrange,Avenue Leo Lagrange,93100,Montreuil,"93, Seine-Saint-Denis, Île-de-France",93048,,,,ok
50 AVENUE JEAN JAURES 78390 BOIS D ARCY Yvelines,48.799971,2.036884,50 Avenue Jean Jaurès 78390 Bois-d'Arcy,0.7935951257253384,,housenumber,78073_0300_00050,50,50 Avenue Jean Jaurès,Avenue Jean Jaurès,78390,Bois-d'Arcy,"78, Yvelines, Île-de-France",78073,,,,ok
35 RUE D AMIENS 93240 STAINS Seine-Saint-Denis,48.954682,2.367846,35 Rue d''Amiens 93240 Stains,0.6019190909090909,,housenumber,93072_0050_00035,35,35 Rue d''Amiens,Rue d''Amiens,93240,Stains,"93, Seine-Saint-Denis, Île-de-France",93072,,,,ok
8 AVENUE DE L EUROPE 95600 EAUBONNE Val-d'Oise,48.991503,2.275724,8 Avenue de l'Europe 95600 Eaubonne,0.7413786868686868,,housenumber,95203_0684_00008,8,8 Avenue de l'Europe,Avenue de l'Europe,95600,Eaubonne,"95, Val-d'Oise, Île-de-France",95203,,,,ok
39 B Avenue DE BONNEUIL 94210 ST MAUR DES FOSSES Val-de-Marne,48.790772,2.502988,Avenue de Bonneuil 94210 Saint-Maur-des-Fossés,0.6512236363636363,,street,94068_0735,,Avenue de Bonneuil,Avenue de Bonneuil,94210,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068,,,,ok
74 Avenue PIERRE LAROUSSE 92240 MALAKOFF Hauts-de-Seine,48.820655,2.305047,74 Avenue Pierre Larousse 92240 Malakoff,0.7184747474747475,0.4199372727272727,housenumber,92046_7150_00074,74,74 Avenue Pierre Larousse,Avenue Pierre Larousse,92240,Malakoff,"92, Hauts-de-Seine, Île-de-France",92046,,,,ok
1 Allee DE LA COMMUNE 94140 ALFORTVILLE Val-de-Marne,48.791073,2.428097,1 Allée de la Commune 94140 Alfortville,0.7284009447415329,,housenumber,94002_1460_00001,1,1 Allée de la Commune,Allée de la Commune,94140,Alfortville,"94, Val-de-Marne, Île-de-France",94002,,,,ok
74 RUE DUNOIS 75013 PARIS Paris,48.833382,2.365962,74 Rue Dunois 75013 Paris,0.7974745454545454,0.59915935828877,housenumber,75113_2992_00074,74,74 Rue Dunois,Rue Dunois,75013,Paris,"75, Paris, Île-de-France",75113,,,Paris 13e Arrondissement,ok
40 RUE CONDORCET 75009 PARIS Paris,48.880043,2.344645,40 Rue Condorcet 75009 Paris,0.8084552892561984,0.6137228282828283,housenumber,75109_2268_00040,40,40 Rue Condorcet,Rue Condorcet,75009,Paris,"75, Paris, Île-de-France",75109,,,Paris 9e Arrondissement,ok
11 RUE DES HALLES 75001 PARIS Paris,48.859708,2.346596,11 Rue des Halles 75001 Paris,0.8023112834224598,0.42856134387351774,housenumber,75101_4461_00011,11,11 Rue des Halles,Rue des Halles,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
72 BOULEVARD DAVOUT 75020 PARIS Paris,48.853282,2.410967,72 Boulevard Davout 75020 Paris,0.8324184848484848,,housenumber,75120_2608_00072,72,72 Boulevard Davout,Boulevard Davout,75020,Paris,"75, Paris, Île-de-France",75120,,,Paris 20e Arrondissement,ok
1 RUE LAMENNAIS 75008 PARIS Paris,48.873533,2.30324,1 Rue Lamennais 75008 Paris,0.7938863636363636,,housenumber,75108_5300_00001,1,1 Rue Lamennais,Rue Lamennais,75008,Paris,"75, Paris, Île-de-France",75108,,,Paris 8e Arrondissement,ok
